datetime,open,high,low,close,tickvol
2026-02-12 16:00:00,999.62,1000.94,996.4,997.06,9985
2026-02-12 17:00:00,997.2,998.3,993.82,993.9,15942
2026-02-12 18:00:00,993.84,994.1,986.32,987.4,20869
2026-02-12 19:00:00,987.5,990.9,986.49,987.37,14018
2026-02-12 20:00:00,987.3,992.1,986.48,990.17,7974
2026-02-12 21:00:00,990.1,993.03,989.7,992.81,5524
2026-02-13 09:00:00,989.9,994.7,989.5,990.75,3703
2026-02-13 10:00:00,991.12,994.85,988.87,992.85,14400
2026-02-13 11:00:00,992.99,993.57,990.52,992.7,10125
2026-02-13 12:00:00,992.7,993.9,989.75,990.0,9633
2026-02-13 13:00:00,990.05,990.13,987.41,989.22,11952
2026-02-13 14:00:00,989.26,990.0,986.22,987.12,10377
2026-02-13 15:00:00,987.1,994.1,985.72,992.37,12841
2026-02-13 16:00:00,992.33,994.0,989.3,991.61,19542
2026-02-13 17:00:00,991.56,998.17,991.55,995.8,22003
2026-02-13 18:00:00,995.78,997.27,992.55,993.93,17434
2026-02-13 19:00:00,993.92,996.66,993.5,995.1,8174
2026-02-13 20:00:00,995.05,996.11,993.67,994.82,6041
2026-02-13 21:00:00,994.9,996.3,993.68,994.64,4224
2026-02-16 09:00:00,994.7,997.7,994.5,996.71,2617
2026-02-16 10:00:00,996.76,997.48,994.4,996.06,11004
2026-02-16 11:00:00,996.07,996.92,995.32,995.81,7393
2026-02-16 12:00:00,995.82,996.12,993.91,995.63,5847
2026-02-16 13:00:00,995.62,996.77,994.86,996.31,4515
2026-02-16 14:00:00,996.3,997.91,995.86,996.86,5074
2026-02-16 15:00:00,996.87,996.96,995.07,995.99,5412
2026-02-16 16:00:00,995.97,996.07,993.68,994.89,9146
2026-02-16 17:00:00,994.87,995.64,993.72,994.04,8714
2026-02-16 18:00:00,994.05,994.58,991.9,994.41,7789
2026-02-16 19:00:00,994.37,995.1,994.25,994.77,2377
2026-02-16 20:00:00,994.7,994.78,993.9,994.27,573
2026-02-16 21:00:00,994.27,994.7,994.1,994.28,162
2026-02-17 09:00:00,991.06,991.11,988.19,990.33,2599
2026-02-17 10:00:00,990.35,994.75,990.05,992.92,10690
2026-02-17 11:00:00,992.93,994.35,992.44,994.22,7854
2026-02-17 12:00:00,994.15,994.99,989.25,989.51,6605
2026-02-17 13:00:00,989.52,992.62,988.96,992.21,8111
2026-02-17 14:00:00,992.2,992.62,989.89,989.97,7948
2026-02-17 15:00:00,989.95,992.83,988.57,989.62,9452
2026-02-17 16:00:00,989.59,995.83,989.04,989.77,17122
