datetime,open,high,low,close,tickvol
2026-05-05 14:00:00,24273.7,24333.2,24263.7,24313.7,1531
2026-05-05 14:30:00,24315.2,24363.7,24307.7,24323.7,2917
2026-05-05 15:00:00,24323.2,24389.7,24293.2,24381.2,4043
2026-05-05 15:30:00,24383.2,24392.7,24300.7,24324.2,3291
2026-05-05 16:00:00,24323.7,24368.2,24319.2,24341.7,3352
2026-05-05 16:30:00,24345.2,24345.2,24267.2,24297.7,4313
2026-05-05 17:00:00,24298.7,24338.2,24223.2,24273.7,5054
2026-05-05 17:30:00,24272.2,24326.2,24247.2,24325.7,4063
2026-05-05 18:00:00,24325.2,24402.2,24320.7,24395.7,3517
2026-05-05 18:30:00,24394.7,24439.5,24377.5,24412.0,3111
2026-05-05 19:00:00,24411.5,24414.5,24392.5,24402.0,1851
2026-05-05 19:30:00,24402.5,24403.5,24378.5,24381.5,1673
2026-05-05 20:00:00,24381.0,24399.5,24372.5,24393.5,1143
2026-05-05 20:30:00,24394.0,24415.0,24381.0,24387.0,1098
2026-05-05 21:00:00,24387.5,24409.7,24382.5,24406.2,978
2026-05-05 21:30:00,24405.7,24416.7,24400.7,24412.2,644
2026-05-05 22:00:00,24411.7,24424.2,24408.7,24421.7,805
2026-05-05 22:30:00,24418.7,24441.7,24402.2,24419.7,1306
2026-05-06 01:00:00,24467.5,24473.2,24458.1,24467.7,935
2026-05-06 01:30:00,24467.9,24563.4,24466.4,24553.8,1787
2026-05-06 02:00:00,24554.8,24574.8,24532.5,24550.5,1956
2026-05-06 02:30:00,24550.7,24558.8,24541.9,24548.2,1204
2026-05-06 03:00:00,24547.9,24549.4,24516.6,24521.9,2220
2026-05-06 03:30:00,24523.4,24564.4,24517.4,24560.9,1293
2026-05-06 04:00:00,24560.4,24581.9,24553.4,24557.9,1560
2026-05-06 04:30:00,24558.4,24564.9,24532.9,24538.9,1731
2026-05-06 05:00:00,24538.4,24547.9,24518.4,24519.4,1362
2026-05-06 05:30:00,24518.4,24527.9,24499.9,24501.9,975
2026-05-06 06:00:00,24502.9,24532.4,24500.4,24525.4,803
2026-05-06 06:30:00,24525.9,24558.9,24525.9,24532.4,891
2026-05-06 07:00:00,24532.9,24571.9,24530.4,24564.9,640
2026-05-06 07:30:00,24565.4,24604.4,24553.4,24584.4,1124
2026-05-06 08:00:00,24584.9,24585.4,24543.9,24551.9,1125
2026-05-06 08:30:00,24552.4,24619.4,24551.9,24618.9,1128
2026-05-06 09:00:00,24618.9,24646.9,24592.5,24612.5,1752
2026-05-06 09:30:00,24611.5,24642.0,24588.5,24636.0,2021
2026-05-06 10:00:00,24634.5,24734.5,24626.5,24701.0,4775
2026-05-06 10:30:00,24701.5,24777.5,24673.0,24770.0,4343
2026-05-06 11:00:00,24770.5,24801.0,24762.0,24774.5,4297
2026-05-06 11:30:00,24775.5,25074.5,24767.0,25010.0,4421
2026-05-06 12:00:00,25008.5,25033.5,24933.0,24936.5,5313
2026-05-06 12:30:00,24935.5,25035.5,24927.5,25030.0,4366
2026-05-06 13:00:00,25030.5,25067.0,25013.0,25036.0,4367
2026-05-06 13:30:00,25036.5,25152.5,25029.5,25121.5,4705
2026-05-06 14:00:00,25122.0,25160.5,25088.0,25096.5,4735
2026-05-06 14:30:00,25097.0,25122.5,25021.0,25030.5,4426
2026-05-06 15:00:00,25031.0,25036.0,24841.5,24943.0,4937
2026-05-06 15:30:00,24941.0,24953.5,24917.0,24943.5,4404
2026-05-06 16:00:00,24942.5,24957.5,24875.0,24918.0,4808
2026-05-06 16:30:00,24919.5,24928.5,24838.0,24879.5,5090
2026-05-06 17:00:00,24880.0,24928.5,24841.0,24883.5,4766
2026-05-06 17:30:00,24884.0,24987.0,24879.5,24948.5,4466
2026-05-06 18:00:00,24949.5,24970.5,24913.5,24948.5,3811
2026-05-06 18:30:00,24948.0,24962.4,24894.9,24906.4,3215
2026-05-06 19:00:00,24905.4,24924.4,24898.9,24914.9,2030
2026-05-06 19:30:00,24914.4,24934.4,24886.0,24901.0,2163
2026-05-06 20:00:00,24901.5,24924.5,24894.5,24901.5,1533
2026-05-06 20:30:00,24902.0,24914.0,24890.5,24914.0,1280
2026-05-06 21:00:00,24913.5,24942.5,24911.0,24935.9,1382
2026-05-06 21:30:00,24934.4,24942.4,24930.4,24937.9,1169
2026-05-06 22:00:00,24937.4,24958.4,24936.4,24943.9,1034
2026-05-06 22:30:00,24943.4,24978.4,24933.9,24972.9,1460
2026-05-07 01:00:00,24931.3,24939.3,24920.3,24921.6,791
2026-05-07 01:30:00,24922.3,24926.8,24917.6,24919.8,428
2026-05-07 02:00:00,24919.6,24932.7,24916.8,24929.2,545
2026-05-07 02:30:00,24929.9,24937.4,24919.8,24924.6,733
2026-05-07 03:00:00,24924.1,24950.6,24910.6,24928.6,1955
2026-05-07 03:30:00,24929.1,24948.1,24927.6,24945.1,1333
2026-05-07 04:00:00,24942.1,24970.1,24923.6,24958.6,1799
2026-05-07 04:30:00,24959.1,24995.1,24951.1,24972.1,1506
2026-05-07 05:00:00,24971.6,24982.1,24959.1,24978.1,1527
2026-05-07 05:30:00,24979.6,24981.6,24955.6,24961.1,1220
2026-05-07 06:00:00,24962.1,24966.6,24944.6,24958.6,954
2026-05-07 06:30:00,24959.6,24964.6,24946.6,24946.6,793
2026-05-07 07:00:00,24946.1,24963.6,24939.6,24958.6,744
2026-05-07 07:30:00,24957.6,24974.6,24949.1,24963.1,664
2026-05-07 08:00:00,24963.6,24977.1,24922.1,24928.1,873
2026-05-07 08:30:00,24929.1,24948.6,24921.1,24924.1,750
2026-05-07 09:00:00,24925.6,24938.2,24902.2,24921.2,1254
2026-05-07 09:30:00,24920.7,24969.2,24906.7,24958.7,2399
2026-05-07 10:00:00,24959.2,25005.2,24916.2,24985.2,5437
2026-05-07 10:30:00,24985.7,25015.2,24935.2,24947.2,4376
2026-05-07 11:00:00,24946.7,24974.2,24907.2,24934.7,4584
2026-05-07 11:30:00,24935.2,24955.2,24873.2,24882.7,3487
2026-05-07 12:00:00,24882.2,24911.2,24873.7,24905.2,3054
2026-05-07 12:30:00,24904.7,24917.7,24858.2,24872.2,3149
2026-05-07 13:00:00,24871.7,24885.2,24840.2,24868.2,3012
2026-05-07 13:30:00,24867.7,24901.2,24850.2,24850.2,2909
2026-05-07 14:00:00,24853.2,24883.7,24838.2,24865.7,2990
2026-05-07 14:30:00,24866.7,24890.2,24848.2,24859.2,2382
2026-05-07 15:00:00,24859.7,24912.2,24853.2,24910.7,2947
2026-05-07 15:30:00,24910.2,24943.2,24897.2,24913.2,2808
2026-05-07 16:00:00,24912.2,24913.2,24847.2,24849.2,3288
2026-05-07 16:30:00,24847.7,24867.2,24758.7,24804.2,4786
2026-05-07 17:00:00,24803.7,24806.2,24720.7,24747.7,4285
2026-05-07 17:30:00,24747.2,24766.7,24722.7,24749.7,3680
2026-05-07 18:00:00,24749.2,24753.2,24639.2,24664.2,4047
2026-05-07 18:30:00,24665.2,24683.0,24602.5,24616.0,4000
2026-05-07 19:00:00,24616.5,24628.5,24558.5,24605.0,4690
2026-05-07 19:30:00,24604.5,24619.0,24568.7,24582.2,3650
2026-05-07 20:00:00,24581.2,24602.7,24463.2,24494.7,3717
2026-05-07 20:30:00,24495.7,24536.7,24477.2,24534.2,4507
2026-05-07 21:00:00,24539.7,24549.2,24503.2,24509.2,3183
2026-05-07 21:30:00,24508.7,24520.7,24447.7,24498.2,3673
2026-05-07 22:00:00,24497.2,24520.7,24434.7,24459.7,3345
2026-05-07 22:30:00,24460.2,24492.2,24429.7,24438.2,2746
2026-05-08 01:00:00,24376.2,24429.5,24368.1,24421.4,1541
2026-05-08 01:30:00,24421.6,24422.9,24384.3,24388.7,1063
2026-05-08 02:00:00,24389.0,24413.6,24385.8,24407.1,620
2026-05-08 02:30:00,24407.6,24436.8,24404.4,24436.6,851
2026-05-08 03:00:00,24437.1,24500.0,24437.1,24456.7,1450
2026-05-08 03:30:00,24457.2,24474.2,24442.7,24467.7,390
2026-05-08 04:00:00,24468.7,24499.7,24468.7,24479.7,1298
2026-05-08 04:30:00,24481.2,24481.7,24454.2,24462.7,1117
2026-05-08 05:00:00,24463.2,24474.2,24449.7,24462.2,1293
2026-05-08 05:30:00,24462.7,24495.2,24423.2,24463.2,1588
2026-05-08 06:00:00,24463.7,24474.7,24451.2,24460.7,983
2026-05-08 06:30:00,24459.7,24487.7,24456.2,24468.7,936
2026-05-08 07:00:00,24470.2,24479.2,24447.7,24472.7,974
2026-05-08 07:30:00,24473.7,24491.7,24446.7,24477.2,982
2026-05-08 08:00:00,24477.7,24492.2,24465.2,24476.7,1047
2026-05-08 08:30:00,24475.2,24500.2,24475.2,24486.7,1184
2026-05-08 09:00:00,24485.7,24522.3,24446.2,24499.3,1896
2026-05-08 09:30:00,24500.3,24505.3,24446.1,24476.3,2001
2026-05-08 10:00:00,24475.8,24482.3,24403.8,24455.3,4318
2026-05-08 10:30:00,24454.3,24488.8,24427.3,24486.8,4197
2026-05-08 11:00:00,24487.3,24491.3,24416.8,24428.3,4182
2026-05-08 11:30:00,24428.8,24461.3,24398.3,24410.8,3543
2026-05-08 12:00:00,24411.3,24506.8,24405.8,24493.8,3277
2026-05-08 12:30:00,24495.3,24512.8,24424.3,24444.8,3345
2026-05-08 13:00:00,24445.8,24474.3,24423.8,24457.8,2864
2026-05-08 13:30:00,24458.3,24496.8,24430.8,24481.8,2925
2026-05-08 14:00:00,24481.3,24496.8,24440.3,24454.3,2993
2026-05-08 14:30:00,24455.3,24456.8,24403.8,24433.8,2544
2026-05-08 15:00:00,24432.3,24442.8,24412.8,24433.3,2930
2026-05-08 15:30:00,24433.3,24474.8,24372.8,24397.8,3621
2026-05-08 16:00:00,24397.3,24451.8,24380.3,24447.3,3823
2026-05-08 16:30:00,24447.8,24480.8,24413.3,24480.8,4420
2026-05-08 17:00:00,24480.3,24483.3,24382.3,24384.8,4326
2026-05-08 17:30:00,24383.8,24384.8,24328.3,24335.8,3762
