datetime,open,high,low,close,tickvol
2025-09-16 15:00:00,2640.75,2644.0,2633.25,2635.25,1045
2025-09-16 16:00:00,2635.0,2637.0,2624.0,2626.5,1775
2025-09-16 17:00:00,2626.25,2626.25,2621.75,2624.0,777
2025-09-17 10:00:00,2623.0,2628.75,2619.5,2625.5,2146
2025-09-17 11:00:00,2625.5,2627.5,2621.0,2625.0,1287
2025-09-17 12:00:00,2625.0,2626.0,2621.25,2623.0,1100
2025-09-17 13:00:00,2622.75,2627.25,2620.25,2622.75,900
2025-09-17 14:00:00,2622.5,2625.0,2620.75,2624.25,924
2025-09-17 15:00:00,2624.5,2628.5,2623.5,2627.5,763
2025-09-17 16:00:00,2627.25,2633.25,2623.25,2630.5,1280
2025-09-17 17:00:00,2630.75,2630.75,2625.5,2625.75,437
2025-09-18 10:00:00,2629.25,2642.5,2629.25,2640.75,1767
2025-09-18 11:00:00,2640.75,2643.5,2636.25,2641.25,1452
2025-09-18 12:00:00,2641.25,2643.25,2635.75,2637.5,1185
2025-09-18 13:00:00,2637.5,2642.0,2633.5,2633.75,1037
2025-09-18 14:00:00,2633.5,2645.0,2633.25,2641.5,1526
2025-09-18 15:00:00,2641.75,2643.75,2637.75,2639.5,1226
2025-09-18 16:00:00,2639.25,2641.0,2634.5,2638.25,1963
2025-09-18 17:00:00,2638.0,2643.25,2637.75,2643.0,580
2025-09-19 10:00:00,2640.75,2652.5,2631.5,2651.75,2338
2025-09-19 11:00:00,2651.5,2660.25,2651.5,2653.75,1640
2025-09-19 12:00:00,2653.75,2657.5,2650.5,2651.0,1743
2025-09-19 13:00:00,2650.75,2653.0,2647.75,2651.5,1082
2025-09-19 14:00:00,2651.5,2655.25,2649.25,2654.75,923
2025-09-19 15:00:00,2654.75,2659.75,2654.5,2657.75,905
2025-09-19 16:00:00,2658.0,2660.75,2648.9,2653.75,1585
2025-09-19 17:00:00,2653.5,2656.0,2650.25,2654.0,478
2025-09-22 10:00:00,2650.75,2654.0,2637.88,2646.38,2984
2025-09-22 11:00:00,2646.5,2649.38,2643.75,2648.0,1798
2025-09-22 12:00:00,2648.25,2649.75,2637.0,2637.5,1611
2025-09-22 13:00:00,2637.13,2647.0,2636.0,2643.75,1312
2025-09-22 14:00:00,2643.63,2646.75,2641.0,2645.25,925
2025-09-22 15:00:00,2645.0,2647.5,2642.25,2643.38,832
2025-09-22 16:00:00,2643.25,2645.5,2642.38,2643.25,417
2025-09-22 17:00:00,2644.88,2645.0,2642.0,2642.75,258
2025-09-23 10:00:00,2651.67,2670.42,2648.55,2670.17,2820
2025-09-23 11:00:00,2670.3,2672.17,2666.3,2669.92,1671
2025-09-23 12:00:00,2670.17,2674.42,2668.67,2670.92,1257
