datetime,open,high,low,close,tickvol,rsi_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,atr_14,sma_50,ema_20,return_lag_1,close_lag_1,return_lag_2,close_lag_2,return_lag_3,close_lag_3,return_lag_5,close_lag_5,return_lag_10,close_lag_10
2025-09-24 16:00:00,2644.22,2649.09,2642.09,2643.47,1872,38.34311007468013,1.0871353521511082,-3.6200482380594634,4.707183590210572,2632.181120574763,2657.0129999999995,2681.844879425236,1.869157540835244,0.22730618234566524,8.233116019095892,2646.1178,2654.2925837370494,-0.0003290045909377648,2644.34,-0.0008957457744989128,2645.84,-0.004050154094234815,2654.22,-0.004845012310171315,2656.34,-0.009257281207719292,2668.17
2025-09-24 17:00:00,2643.22,2645.34,2641.09,2645.34,707,40.34356762612805,0.31809970499898554,-3.5112671081692692,3.829366813168255,2632.429802939139,2657.0924999999997,2681.7551970608606,1.8563672179919115,0.2617353047195607,7.9486077320176145,2646.3196000000003,2653.4399567144733,0.0007074035264256207,2643.47,0.00037816619648012306,2644.34,-0.00018897590179300927,2645.84,-0.004234752069382175,2656.59,-0.009299033394877476,2670.17
2025-09-25 10:00:00,2645.64,2647.76,2622.01,2636.01,3463,34.35453685395497,-1.0323196733115765,-3.889349189183865,2.8570295158722887,2630.719156842793,2656.6304999999998,2682.5418431572066,1.9506922891389549,0.10209511573960471,9.220135751159214,2646.5098000000007,2651.7799608369046,-0.0035269568373063054,2645.34,-0.002822048292584922,2643.47,-0.0031501244166786124,2644.34,-0.006860772656373415,2654.22,-0.014914496696463164,2675.92
2025-09-25 11:00:00,2636.26,2639.89,2630.51,2631.01,1932,31.643474816214276,-2.477436625853443,-4.267572913380585,1.7901362875271423,2628.2448383271094,2656.0119999999997,2683.77916167289,2.0908912815823366,0.04979193958434926,9.231554626076388,2646.65,2649.801869328628,-0.0018968061577915307,2636.01,-0.005417073041650622,2645.34,-0.004713501571797507,2643.47,-0.0056050252471804285,2645.84,-0.01627937410031588,2674.55
2025-09-25 12:00:00,2631.14,2634.39,2625.64,2629.51,1673,30.85677008789516,-3.701075986097294,-4.392969818899549,0.691893832802255,2625.616342746777,2655.325,2685.033657253223,2.2376663687663854,0.0655306838682687,9.197157867070931,2646.7302,2647.869310344949,-0.0005701232606489803,2631.01,-0.0024658480051289455,2636.01,-0.005984107902953895,2645.34,-0.005608204693798857,2644.34,-0.010100363658266609,2656.34
2025-09-25 13:00:00,2629.64,2633.51,2627.01,2631.76,1234,33.52640989608592,-4.438103108953783,-4.10399755340483,-0.3341055555489526,2623.711863804535,2654.7755,2685.8391361954655,2.340208141552103,0.1295427255332102,9.004503733708722,2646.8654000000006,2646.335090312097,0.0008556727299002809,2629.51,0.00028506163032449017,2631.01,-0.0016122852341228233,2636.01,-0.004429783579915636,2643.47,-0.009253333534110841,2656.34
2025-09-25 14:00:00,2631.39,2632.64,2620.51,2621.01,1582,27.969873767555082,-5.822519195420227,-4.39073091189702,-1.4317882835232076,2618.7073725319133,2652.3175,2685.927627468087,2.534396991920223,0.03425496482084616,9.227753467015217,2646.8256000000006,2643.9231769490398,-0.004084718971334778,2631.76,-0.003232541424067592,2629.51,-0.003800821737659721,2631.01,-0.009197305450339033,2645.34,-0.013393109211432663,2656.59
2025-09-25 15:00:00,2620.64,2623.51,2617.51,2620.26,1362,27.625864257975238,-6.900651238145201,-4.375090363697595,-2.5255608744476064,2614.4112762916093,2649.8345000000004,2685.2577237083915,2.6736178209160686,0.0825549328392362,8.997199647942702,2646.7758000000003,2641.669541049131,-0.00028614923254777214,2621.01,-0.004369699364683677,2631.76,-0.0035177656673677227,2629.51,-0.0059749393970433,2636.01,-0.012794719352578032,2654.22
2025-09-25 16:00:00,2620.01,2626.76,2617.89,2617.89,2024,26.516024890464927,-7.855761513919788,-4.264160511577745,-3.591601002342043,2610.4891989460148,2647.183,2683.876801053985,2.7722904728524793,0.10084538588816111,8.988113958803963,2646.6486000000004,2639.404822853976,-0.000904490394083135,2620.26,-0.0011903808073988609,2621.01,-0.005270237407666523,2631.76,-0.004986678119809684,2631.01,-0.01056375291022904,2645.84
2025-09-25 17:00:00,2617.76,2625.51,2617.51,2623.26,864,33.076475635870025,-8.086166869425142,-3.595652693666479,-4.490514175758663,2607.919084125547,2645.1,2682.2809158744526,2.8113051207480018,0.20630094113676567,8.917534390317966,2646.5638000000004,2637.8672206774067,0.0020512702978354724,2617.89,0.001144924549472126,2620.26,0.0008584476976432054,2621.01,-0.002376868694167311,2629.51,-0.00797174342179896,2644.34
