datetime,open,high,low,close,tickvol
2026-02-12 16:25:00,999.62,999.98,999.32,999.87,679
2026-02-12 16:30:00,999.95,1000.22,998.62,998.76,1784
2026-02-12 16:35:00,998.85,1000.38,998.69,1000.17,1584
2026-02-12 16:40:00,1000.15,1000.94,999.78,1000.12,1438
2026-02-12 16:45:00,1000.08,1000.23,998.47,998.62,1555
2026-02-12 16:50:00,998.71,999.02,998.07,998.47,1718
2026-02-12 16:55:00,998.48,998.67,996.4,997.06,1227
2026-02-12 17:00:00,997.2,998.3,996.37,996.92,1334
2026-02-12 17:05:00,996.9,997.65,996.45,996.7,1382
2026-02-12 17:10:00,996.71,997.34,995.55,997.24,1409
2026-02-12 17:15:00,997.27,998.13,997.21,997.21,1491
2026-02-12 17:20:00,997.23,997.6,996.01,996.12,1395
2026-02-12 17:25:00,996.13,996.79,995.75,996.36,1427
2026-02-12 17:30:00,996.43,996.87,995.79,995.92,1331
2026-02-12 17:35:00,995.86,996.02,995.08,995.7,1118
2026-02-12 17:40:00,995.68,996.18,995.1,995.97,1122
2026-02-12 17:45:00,995.97,996.48,995.02,995.31,1348
2026-02-12 17:50:00,995.32,996.23,994.74,994.75,1185
2026-02-12 17:55:00,994.77,995.12,993.82,993.9,1400
2026-02-12 18:00:00,993.84,994.1,993.0,993.27,1424
2026-02-12 18:05:00,993.26,993.34,990.4,990.57,1674
2026-02-12 18:10:00,990.53,990.59,989.57,989.89,1533
2026-02-12 18:15:00,989.87,990.12,987.94,988.75,1710
2026-02-12 18:20:00,988.77,988.83,987.65,987.82,1616
2026-02-12 18:25:00,987.77,988.13,986.51,986.8,1746
2026-02-12 18:30:00,986.82,988.6,986.32,987.86,2093
2026-02-12 18:35:00,987.87,988.6,987.2,988.5,2147
2026-02-12 18:40:00,988.44,989.82,987.9,988.67,1980
2026-02-12 18:45:00,988.68,989.16,987.3,988.2,1871
2026-02-12 18:50:00,988.19,988.7,987.1,987.55,1599
2026-02-12 18:55:00,987.53,988.4,987.2,987.4,1476
2026-02-12 19:00:00,987.5,988.7,986.49,988.6,1540
2026-02-12 19:05:00,988.55,989.01,987.0,988.82,1640
2026-02-12 19:10:00,988.77,988.82,987.7,987.99,1639
2026-02-12 19:15:00,988.0,988.6,987.7,988.1,1350
2026-02-12 19:20:00,988.15,990.9,988.12,990.55,1299
2026-02-12 19:25:00,990.5,990.7,988.47,988.5,1191
2026-02-12 19:30:00,988.61,989.7,988.1,989.61,1184
2026-02-12 19:35:00,989.7,990.5,989.1,989.2,834
2026-02-12 19:40:00,989.4,990.25,988.71,989.7,881
2026-02-12 19:45:00,989.81,990.55,988.76,989.32,917
2026-02-12 19:50:00,989.4,990.0,988.06,988.43,900
2026-02-12 19:55:00,988.5,989.1,987.29,987.37,643
2026-02-12 20:00:00,987.3,987.85,986.48,987.43,695
2026-02-12 20:05:00,987.4,989.1,987.3,987.5,846
2026-02-12 20:10:00,987.7,988.1,987.29,987.57,649
2026-02-12 20:15:00,987.7,987.71,986.9,987.3,746
2026-02-12 20:20:00,987.34,988.9,987.1,988.49,511
2026-02-12 20:25:00,988.5,989.3,986.9,988.04,1039
2026-02-12 20:30:00,988.1,989.3,987.6,989.08,632
2026-02-12 20:35:00,989.1,990.1,988.83,989.88,580
2026-02-12 20:40:00,989.9,990.9,989.3,990.48,482
2026-02-12 20:45:00,990.5,991.5,990.3,990.6,664
2026-02-12 20:50:00,990.74,992.1,990.43,990.98,548
2026-02-12 20:55:00,990.9,991.34,989.9,990.17,582
2026-02-12 21:00:00,990.1,990.9,990.04,990.31,728
2026-02-12 21:05:00,990.3,991.3,990.3,990.86,686
2026-02-12 21:10:00,990.9,991.3,989.7,991.24,655
2026-02-12 21:15:00,991.3,992.7,991.1,992.1,554
2026-02-12 21:20:00,992.3,992.92,992.1,992.47,583
2026-02-12 21:25:00,992.5,992.56,990.82,990.94,821
2026-02-12 21:30:00,990.9,992.5,990.9,992.1,657
2026-02-12 21:35:00,992.12,992.9,991.8,992.81,383
2026-02-12 21:40:00,992.9,993.03,992.31,992.81,457
2026-02-13 09:00:00,989.9,993.6,989.5,992.95,613
2026-02-13 09:05:00,993.0,993.4,992.92,993.34,165
2026-02-13 09:10:00,993.32,994.12,993.3,993.95,216
2026-02-13 09:15:00,993.7,994.5,993.35,993.59,315
2026-02-13 09:20:00,993.7,994.7,993.3,993.91,342
2026-02-13 09:25:00,993.9,993.96,992.4,992.81,343
2026-02-13 09:30:00,993.1,993.5,991.2,991.56,310
2026-02-13 09:35:00,991.5,991.56,990.3,991.13,236
2026-02-13 09:40:00,991.3,992.05,990.9,991.48,303
2026-02-13 09:45:00,991.45,991.78,991.15,991.15,159
2026-02-13 09:50:00,991.17,991.7,990.61,991.43,229
2026-02-13 09:55:00,991.5,993.25,989.9,990.75,472
2026-02-13 10:00:00,991.12,993.95,990.97,993.61,1796
2026-02-13 10:05:00,993.55,994.58,992.39,993.1,1683
2026-02-13 10:10:00,993.08,993.25,991.41,991.6,1552
2026-02-13 10:15:00,991.54,991.72,988.88,988.88,1398
2026-02-13 10:20:00,988.87,990.46,988.87,990.45,1138
2026-02-13 10:25:00,990.56,991.66,990.04,990.44,1253
2026-02-13 10:30:00,990.42,992.57,990.42,992.38,992
2026-02-13 10:35:00,992.37,993.12,991.15,991.95,1085
2026-02-13 10:40:00,991.93,992.75,991.52,992.75,869
2026-02-13 10:45:00,992.74,994.35,992.7,994.35,833
2026-02-13 10:50:00,994.33,994.85,993.6,993.73,948
2026-02-13 10:55:00,993.72,994.17,992.53,992.85,853
2026-02-13 11:00:00,992.99,993.07,990.52,990.82,1082
2026-02-13 11:05:00,990.81,991.92,990.62,991.45,1057
2026-02-13 11:10:00,991.44,991.87,990.92,991.42,865
2026-02-13 11:15:00,991.46,992.78,991.42,991.85,866
2026-02-13 11:20:00,991.84,993.57,991.82,993.5,880
2026-02-13 11:25:00,993.51,993.57,992.2,992.37,877
2026-02-13 11:30:00,992.39,992.67,991.91,992.32,895
2026-02-13 11:35:00,992.29,992.46,991.87,992.37,743
2026-02-13 11:40:00,992.42,992.96,992.32,992.47,816
2026-02-13 11:45:00,992.49,993.57,992.26,993.19,691
2026-02-13 11:50:00,993.2,993.57,992.17,992.44,835
2026-02-13 11:55:00,992.45,993.3,992.26,992.7,518
2026-02-13 12:00:00,992.7,993.9,992.62,993.35,751
2026-02-13 12:05:00,993.36,993.42,991.23,991.39,955
2026-02-13 12:10:00,991.4,991.93,991.37,991.81,717
2026-02-13 12:15:00,991.82,991.92,991.16,991.82,844
2026-02-13 12:20:00,991.8,992.72,991.8,992.24,731
2026-02-13 12:25:00,992.25,993.08,992.07,992.82,643
2026-02-13 12:30:00,992.83,993.12,992.2,992.5,733
2026-02-13 12:35:00,992.49,992.8,992.07,992.22,724
2026-02-13 12:40:00,992.23,992.77,991.53,991.82,797
2026-02-13 12:45:00,991.84,992.08,990.87,991.02,774
2026-02-13 12:50:00,991.01,991.33,989.99,990.42,1055
2026-02-13 12:55:00,990.45,990.68,989.75,990.0,909
2026-02-13 13:00:00,990.05,990.13,989.17,989.22,911
2026-02-13 13:05:00,989.23,989.76,988.76,989.01,904
2026-02-13 13:10:00,989.02,989.37,988.81,988.87,886
2026-02-13 13:15:00,988.83,989.17,988.42,989.07,992
2026-02-13 13:20:00,989.08,989.47,988.42,989.12,958
2026-02-13 13:25:00,989.11,989.37,988.42,988.47,883
2026-02-13 13:30:00,988.48,989.11,987.62,989.11,945
2026-02-13 13:35:00,989.12,989.72,988.76,988.87,1004
2026-02-13 13:40:00,988.84,989.07,987.82,988.11,1275
2026-02-13 13:45:00,988.12,988.17,987.5,988.02,1158
2026-02-13 13:50:00,988.01,989.05,987.41,989.04,1074
2026-02-13 13:55:00,989.02,989.42,988.72,989.22,962
2026-02-13 14:00:00,989.26,990.0,988.9,988.92,963
2026-02-13 14:05:00,988.93,989.04,987.97,988.2,915
2026-02-13 14:10:00,988.21,988.82,987.72,988.0,859
2026-02-13 14:15:00,988.01,988.32,987.24,987.78,942
2026-02-13 14:20:00,987.8,988.7,987.6,988.18,916
2026-02-13 14:25:00,988.2,988.78,988.07,988.45,734
2026-02-13 14:30:00,988.43,989.13,988.3,988.86,813
2026-02-13 14:35:00,988.85,988.97,988.02,988.24,766
2026-02-13 14:40:00,988.25,988.58,987.83,988.3,723
2026-02-13 14:45:00,988.32,988.42,987.02,987.52,779
2026-02-13 14:50:00,987.5,988.52,987.41,988.44,846
2026-02-13 14:55:00,988.45,988.73,986.22,987.12,1121
2026-02-13 15:00:00,987.1,988.06,986.87,987.94,1227
2026-02-13 15:05:00,987.95,988.17,986.18,986.19,970
2026-02-13 15:10:00,986.2,986.77,985.82,986.02,972
2026-02-13 15:15:00,986.03,987.44,985.72,987.44,1111
2026-02-13 15:20:00,987.45,987.78,986.57,987.54,1081
2026-02-13 15:25:00,987.55,989.57,987.55,989.15,758
2026-02-13 15:30:00,989.3,991.57,989.15,990.01,1095
2026-02-13 15:35:00,990.02,990.45,989.02,990.2,1160
2026-02-13 15:40:00,990.18,991.8,989.82,990.98,1115
2026-02-13 15:45:00,990.97,992.8,989.55,992.52,1387
2026-02-13 15:50:00,992.57,993.52,992.37,993.48,936
2026-02-13 15:55:00,993.47,994.1,992.23,992.37,1029
2026-02-13 16:00:00,992.33,993.67,992.25,992.61,1044
2026-02-13 16:05:00,992.6,992.92,991.64,991.7,1052
2026-02-13 16:10:00,991.72,991.98,990.87,991.71,908
2026-02-13 16:15:00,991.72,992.02,991.02,991.12,974
2026-02-13 16:20:00,991.15,991.52,990.52,990.53,791
2026-02-13 16:25:00,990.52,992.32,990.52,992.03,1227
2026-02-13 16:30:00,992.23,993.96,991.77,993.5,2220
2026-02-13 16:35:00,993.51,994.0,991.23,991.24,2154
2026-02-13 16:40:00,991.3,991.4,989.3,990.9,2161
2026-02-13 16:45:00,990.84,993.4,990.27,991.62,2194
2026-02-13 16:50:00,991.66,992.15,989.3,991.45,2354
2026-02-13 16:55:00,991.52,993.25,990.18,991.61,2463
2026-02-13 17:00:00,991.56,993.47,991.55,993.0,2349
2026-02-13 17:05:00,992.93,994.82,992.2,994.62,2239
2026-02-13 17:10:00,994.53,995.32,993.97,994.42,1931
2026-02-13 17:15:00,994.48,995.03,993.0,993.56,2070
2026-02-13 17:20:00,993.58,994.92,993.19,994.17,2121
2026-02-13 17:25:00,994.16,995.5,994.07,994.8,1834
2026-02-13 17:30:00,994.92,997.12,994.79,996.65,1362
2026-02-13 17:35:00,996.62,998.17,996.45,996.6,1516
2026-02-13 17:40:00,996.58,996.89,995.47,995.7,1609
2026-02-13 17:45:00,995.67,996.41,994.92,995.15,1743
2026-02-13 17:50:00,995.17,996.47,995.12,996.24,1652
2026-02-13 17:55:00,996.26,996.86,995.52,995.8,1577
2026-02-13 18:00:00,995.78,996.37,995.32,996.22,1500
2026-02-13 18:05:00,996.23,997.27,995.92,996.72,1467
2026-02-13 18:10:00,996.75,996.77,995.29,995.67,1450
2026-02-13 18:15:00,995.78,997.12,995.47,995.98,1447
2026-02-13 18:20:00,996.0,996.5,994.07,994.43,1371
2026-02-13 18:25:00,994.42,995.75,994.17,994.6,1549
2026-02-13 18:30:00,994.65,995.4,993.46,994.05,1730
2026-02-13 18:35:00,994.04,994.2,992.55,993.78,1703
2026-02-13 18:40:00,993.77,994.1,993.25,993.86,1512
2026-02-13 18:45:00,993.9,994.85,993.67,993.89,1420
2026-02-13 18:50:00,993.85,994.6,993.4,994.26,1302
