datetime,open,high,low,close,tickvol
2026-02-12 16:00:00,999.62,1000.94,986.32,987.37,60814
2026-02-12 20:00:00,987.3,993.03,986.48,992.81,13498
2026-02-13 08:00:00,989.9,994.85,988.87,992.7,28228
2026-02-13 12:00:00,992.7,994.1,985.72,992.37,44803
2026-02-13 16:00:00,992.33,998.17,989.3,995.1,67153
2026-02-13 20:00:00,995.05,996.3,993.67,994.64,10265
2026-02-16 08:00:00,994.7,997.7,994.4,995.81,21014
2026-02-16 12:00:00,995.82,997.91,993.91,995.99,20848
2026-02-16 16:00:00,995.97,996.07,991.9,994.77,28026
2026-02-16 20:00:00,994.7,994.78,993.9,994.28,735
2026-02-17 08:00:00,991.06,994.75,988.19,994.22,21143
2026-02-17 12:00:00,994.15,994.99,988.57,989.62,32116
2026-02-17 16:00:00,989.59,997.15,989.04,994.14,69794
2026-02-17 20:00:00,994.1,999.5,993.1,999.04,15837
2026-02-18 08:00:00,999.3,1001.94,995.7,1001.16,20563
2026-02-18 12:00:00,1001.17,1005.24,1001.07,1003.2,25364
2026-02-18 16:00:00,1003.18,1011.21,1002.77,1010.69,42657
2026-02-18 20:00:00,1010.7,1012.15,1009.0,1009.64,7915
2026-02-19 08:00:00,1009.57,1013.3,1006.57,1007.79,21264
2026-02-19 12:00:00,1007.77,1010.52,1006.05,1009.6,28333
2026-02-19 16:00:00,1009.62,1010.19,1004.1,1004.52,50063
2026-02-19 20:00:00,1004.5,1007.5,1004.1,1006.56,6194
2026-02-20 08:00:00,1009.83,1011.46,1007.55,1009.89,17261
2026-02-20 12:00:00,1009.87,1011.87,1008.91,1010.85,28673
2026-02-20 16:00:00,1010.87,1019.95,1009.47,1016.07,63587
2026-02-20 20:00:00,1016.1,1019.3,1014.9,1018.31,13274
2026-02-23 08:00:00,1014.28,1016.85,1011.67,1014.26,19613
2026-02-23 12:00:00,1014.27,1017.42,1011.5,1017.13,21316
2026-02-23 16:00:00,1017.12,1022.61,1012.58,1015.05,58174
2026-02-23 20:00:00,1015.1,1018.41,1014.9,1015.76,8020
2026-02-24 08:00:00,1018.7,1020.8,1016.4,1018.45,24996
2026-02-24 12:00:00,1018.44,1024.4,1017.72,1023.93,26607
2026-02-24 16:00:00,1023.95,1024.15,1018.3,1020.97,47990
2026-02-24 20:00:00,1021.0,1022.5,1020.44,1022.11,4562
2026-02-25 08:00:00,1023.3,1028.11,1022.44,1028.06,20290
2026-02-25 12:00:00,1028.07,1030.04,1026.06,1029.57,19627
2026-02-25 16:00:00,1029.57,1032.85,1028.45,1032.74,37408
2026-02-25 20:00:00,1032.77,1033.3,1032.3,1032.7,3089
2026-02-26 08:00:00,1028.7,1031.63,1027.61,1030.43,20420
2026-02-26 12:00:00,1030.42,1030.92,1028.57,1029.56,22227
2026-02-26 16:00:00,1029.57,1030.87,1017.89,1020.41,48756
2026-02-27 08:00:00,1023.5,1025.5,1019.85,1025.16,21413
2026-02-27 12:00:00,1025.17,1025.7,1020.52,1022.03,31106
2026-02-27 16:00:00,1022.02,1027.22,1020.54,1023.24,55624
2026-02-27 20:00:00,1023.4,1025.3,1022.3,1022.75,11796
2026-03-02 08:00:00,1014.47,1019.35,1011.89,1017.09,38004
2026-03-02 12:00:00,1017.1,1018.72,1013.87,1015.06,45252
2026-03-02 16:00:00,1015.05,1019.95,1013.8,1018.88,60854
2026-03-02 20:00:00,1018.9,1020.9,1016.86,1019.95,7861
2026-03-03 08:00:00,1010.7,1012.1,988.2,988.48,45203
2026-03-03 12:00:00,988.5,992.77,982.89,989.17,61108
2026-03-03 16:00:00,989.21,997.1,984.45,995.7,65950
2026-03-03 20:00:00,995.59,1000.75,995.5,1000.05,13816
2026-03-04 08:00:00,991.91,999.77,988.8,999.68,34943
2026-03-04 12:00:00,999.67,1005.62,998.46,1002.6,46847
2026-03-04 16:00:00,1002.61,1003.61,997.2,1002.97,56294
2026-03-04 20:00:00,1003.0,1006.5,1001.96,1005.93,6186
2026-03-05 08:00:00,1000.73,1007.77,995.57,1003.97,37345
2026-03-05 12:00:00,1004.02,1006.97,996.51,996.9,35073
2026-03-05 16:00:00,996.86,1006.2,986.91,987.32,69656
2026-03-05 20:00:00,987.2,990.9,986.5,989.18,13461
2026-03-06 08:00:00,998.7,1000.3,989.75,991.96,37760
2026-03-06 12:00:00,991.95,994.43,968.64,969.19,45979
