datetime,open,high,low,close,tickvol,rsi_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,atr_14,sma_50,ema_20,return_lag_1,close_lag_1,return_lag_2,close_lag_2,return_lag_3,close_lag_3,return_lag_5,close_lag_5,return_lag_10,close_lag_10
2026-02-24 08:00:00,46716.0,46747.0,46603.0,46627.0,1132,55.06683417111823,232.12609794549644,-1.9607604254162254,234.08685837091267,45483.68967400718,46323.399999999994,47163.110325992806,3.625426138810242,0.680776626535497,225.82686798350804,45986.0,46431.66332791624,0.0,46627.0,0.0006652931582109556,46596.0,-0.0008143147969570386,46665.0,-0.0056512838010748245,46892.0,0.003184233739968567,46479.0
2026-02-24 10:00:00,46625.0,46666.0,46372.0,46559.0,20960,52.52522455611381,214.485846997748,-15.68080909853174,230.16665609627975,45578.75380938283,46367.3,47155.84619061717,3.401303033030474,0.6215528032986627,230.69637741325747,45994.68000000001,46443.79063001945,-0.001458382482252718,46627.0,-0.001458382482252718,46627.0,-0.0007940595759292624,46596.0,-0.007418935340141153,46907.0,0.002562446167097221,46440.0
2026-02-24 12:00:00,46560.0,46610.0,46445.0,46530.0,10616,51.434913249677194,195.90746409569692,-27.40735360046628,223.3148176961632,45703.49800873574,46412.549999999996,47121.60199126425,3.0554321676540326,0.5828218532963911,226.00377902659622,46010.76,46452.001046208075,-0.0006228656113748121,46559.0,-0.0020803397173311255,46627.0,-0.0020803397173311255,46627.0,-0.002892960462873684,46665.0,0.0009895878151622295,46484.0
2026-02-24 14:00:00,46531.0,46575.0,46405.0,46536.0,9010,51.65849722867964,179.59781978103274,-34.97359833210439,214.57141811313713,45818.12204633712,46452.6,47087.077953662876,2.731722029177603,0.5657233238117483,222.00350909612507,46031.02,46460.00094656921,0.00012894906511928816,46530.0,-0.0004939968641938242,46559.0,-0.0019516589100735393,46627.0,-0.0012876641771826236,46596.0,-0.0018018018018017834,46620.0
2026-02-24 16:00:00,46535.0,46740.0,46459.0,46606.0,20995,54.301800964899435,170.35695520650188,-35.37157032530823,205.7285255318101,45941.22477246756,46493.850000000006,47046.47522753245,2.3771971025520324,0.6014702138199165,226.21754416068757,46054.44,46473.90561832453,0.0015042117930204046,46536.0,0.0016333548248441687,46530.0,0.001009471852917887,46559.0,-0.00045038282540155183,46627.0,-0.003826012610879559,46785.0
2026-02-24 18:00:00,46605.0,46702.0,46548.0,46685.0,9742,57.149515145049584,167.4775660930609,-30.600767550999393,198.07833364406028,46082.32230190603,46537.50000000001,46992.67769809398,1.9561759789158235,0.6620246341347988,221.0591481492099,46080.340000000004,46494.00984515076,0.0016950607217953717,46606.0,0.0032018222451435374,46536.0,0.0033311841822480925,46530.0,0.001243914470156815,46627.0,-0.00441439904461316,46892.0
2026-02-24 20:00:00,46685.0,46753.0,46681.0,46740.0,4375,59.06219442674955,167.70052258716896,-24.302248845513077,192.00277143268204,46197.53375720256,46575.75000000001,46953.966242797454,1.624090831806024,0.7171376866116725,210.41206613855206,46105.14,46517.437478945925,0.0011781086001927399,46685.0,0.0028751662876025375,46606.0,0.004383702939659617,46536.0,0.0038875405399600993,46559.0,-0.0035602362120792375,46907.0
2026-02-25 08:00:00,46807.0,46933.0,46799.0,46878.0,1052,63.46832242670168,176.9726335430969,-12.024110311668153,188.99674385476504,46245.77725536753,46608.50000000001,46971.22274463248,1.5564660722077557,0.871495865627423,209.16834712865548,46134.92,46551.77676666536,0.002952503209242563,46740.0,0.004134090178858241,46685.0,0.0058361584345363315,46606.0,0.007479045776918047,46530.0,0.00456444873031181,46665.0
2026-02-25 10:00:00,46880.0,47107.0,46845.0,47093.0,16795,69.05623673071389,199.37132294111507,8.299663269080014,191.07165967203505,46276.39852838468,46652.15000000001,47027.90147161534,1.610864543714838,1.08662444900722,212.94203661946582,46165.38,46603.32183650675,0.004586373138785849,46878.0,0.0075524176294394785,46740.0,0.0087394237977938,46685.0,0.011969228124462772,46536.0,0.010666151600995821,46596.0
2026-02-25 12:00:00,47095.0,47117.0,47015.0,47100.0,8121,69.22130915449011,215.20652035618696,19.30788854732151,195.89863180886545,46305.70516367884,46692.450000000004,47079.19483632117,1.6565626191008012,1.0268977911595853,205.0176054323611,46194.18,46650.624518744204,0.00014864204871223308,47093.0,0.004735696915397325,46878.0,0.007702182284980763,46740.0,0.010599493627429846,46606.0,0.010144336972140566,46627.0
