datetime,open,high,low,close,tickvol,rsi_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,atr_14,sma_50,ema_20,return_lag_1,close_lag_1,return_lag_2,close_lag_2,return_lag_3,close_lag_3,return_lag_5,close_lag_5,return_lag_10,close_lag_10
2026-01-28 17:00:00,13031.1,13073.6,13027.85,13027.95,12519,34.729085335612666,-39.880592462812274,-15.745527323208076,-24.135065139604198,12975.82925956322,13138.304,13300.778740436781,2.473298538940503,0.16039644161506367,35.07910808265769,13148.346599999999,13103.872030609595,-0.00028008840050330885,13031.6,0.0014181943964026722,13009.5,0.0009873147344239275,13015.1,-0.0027633084686600196,13064.05,-0.012959315099628665,13199.0
2026-01-28 18:00:00,13028.1,13039.7,12972.95,12974.9,11488,28.448121682915808,-45.047762003963726,-16.73015749148762,-28.317604512476105,12951.355388865846,13128.191500000003,13305.027611134159,2.6939904271529924,0.06657184152927728,37.34131464818215,13143.5996,13091.588980075348,-0.0040720143998097535,13027.95,-0.004350962276313042,13031.6,-0.0026595949114108786,13009.5,-0.005114403140718982,13041.6,-0.016336148010898777,13190.38
2026-01-28 19:00:00,12974.85,12990.65,12943.6,12957.65,6335,26.753759872932715,-49.958817775475836,-17.31297061039978,-32.645847165076056,12927.771693185909,13115.469,13303.16630681409,2.8622279052939787,0.07959173022041482,38.03479217331194,13137.6336,13078.83288673484,-0.0013294900153373312,12974.9,-0.005396090712660118,13027.95,-0.005674667730746874,13031.6,-0.004414103618105125,13015.1,-0.01493450711185107,13154.1
2026-01-28 20:00:00,12957.72,12957.72,12957.72,12957.72,1,26.772819679671773,-53.2315957414703,-16.468598861115396,-36.762996880354905,12907.102484261939,13103.795000000002,13300.487515738065,3.002069488084373,0.1286716872477957,35.323021303789645,13131.777,13067.298326093427,5.402214136029926e-06,12957.65,-0.0013240949833910332,12974.9,-0.00539071764936172,13027.95,-0.003980168338521883,13009.5,-0.010925245308510578,13100.85
2026-01-29 09:00:00,12996.15,13009.15,12986.35,13004.4,2965,38.30252119954018,-51.46534946706015,-11.76188206936419,-39.70346739769596,12899.311247197062,13093.142500000002,13286.973752802942,2.960805670646906,0.27108309749660753,36.473519782090406,13127.325999999997,13061.308009322624,0.0036024856224705637,12957.72,0.0036079072980055304,12957.65,0.002273620605939053,12974.9,-0.0020872341078609358,13031.6,-0.005426240980164976,13075.35
2026-01-29 10:00:00,13005.2,13079.3,12984.05,13045.35,13248,46.2915840643489,-46.22837190771497,-5.219923608015208,-41.008448299699765,12897.837976251321,13085.067500000001,13272.29702374868,2.8617280537326937,0.39393366173031047,40.67183979765538,13123.498,13059.788198910945,0.00314893420688378,13004.4,0.006762763819560869,12957.72,0.0067682025675952495,12957.65,0.0013355900199187865,13027.95,-0.0014314090959540726,13064.05
2026-01-29 11:00:00,13045.1,13083.55,13044.55,13070.65,8162,50.55178730362472,-39.58027414004755,1.142539327721778,-40.72281346776933,12900.62645431209,13077.955,13255.28354568791,2.711869641513667,0.479402639401169,40.55242266925143,13120.177,13060.822656157521,0.0019393883644363008,13045.35,0.005094429577681359,13004.4,0.008715267809460414,12957.72,0.007379632983683937,12974.9,0.0022274874248557897,13041.6
2026-01-29 12:00:00,13070.1,13099.6,13055.1,13058.15,8458,48.50465654537346,-34.917744274893266,4.644055354300846,-39.56179962919411,12903.842953596946,13070.499999999998,13237.15704640305,2.550125035814268,0.4629478612919532,40.834392478590615,13117.218,13060.568117475852,-0.0009563411153997725,13070.65,0.0009811925322049664,13045.35,0.004133216449816901,13004.4,0.007756036009616052,12957.65,0.003307696444898589,13015.1
2026-01-29 13:00:00,13058.1,13082.1,13052.1,13077.7,7870,51.79274082677089,-29.30729786458869,8.203601411684339,-37.51089927627303,12910.290576469091,13063.98,13217.669423530908,2.3528729151592125,0.5446354722556492,40.060507301548434,13115.282000000001,13062.199725335295,0.0014971492899071848,13058.15,0.0005393763890855219,13070.65,0.0024798108138148756,13045.35,0.009259345008226783,12957.72,0.005242322917867748,13009.5
2026-01-29 14:00:00,13077.6,13124.5,13076.6,13117.15,6748,57.666831978379655,-21.430654120167674,12.864196124884288,-34.29485024505196,12921.79105785946,13058.657500000001,13195.523942140542,2.096179368216695,0.7136845931157308,40.62047106572352,13113.994000000002,13067.433084827171,0.0030165854852151064,13077.7,0.004518251053939437,13058.15,0.0035575889492871493,13070.65,0.008670142413337079,13004.4,0.006564811688510863,13031.6
2026-01-29 15:00:00,13117.1,13189.1,13110.05,13188.15,7946,65.75456720206095,-9.35145284895043,19.954717916881226,-29.306170765831656,12923.523678390355,13058.115,13192.706321609645,2.061420375140594,0.9830734940590748,43.36543741817192,13114.630000000003,13078.92993389125,0.005412761156196266,13117.15,0.008445674698150274,13077.7,0.009955468423934466,13058.15,0.01094642918741151,13045.35,0.012296639148906774,13027.95
