datetime,open,high,low,close,tickvol
2025-05-22 12:00:00,1468.86,1469.38,1468.09,1468.34,134
2025-05-22 16:00:00,1468.47,1468.73,1468.21,1468.49,65
2025-05-23 08:00:00,1475.03,1480.77,1474.91,1476.26,664
2025-05-23 12:00:00,1476.26,1480.74,1450.06,1461.88,2059
2025-05-23 16:00:00,1461.88,1462.01,1458.21,1458.21,91
2025-05-26 08:00:00,1483.3,1487.06,1482.31,1486.27,480
2025-05-26 12:00:00,1486.27,1486.46,1482.29,1484.45,645
2025-05-26 16:00:00,1484.45,1485.19,1484.45,1484.78,14
2025-05-27 08:00:00,1488.2,1495.77,1488.2,1493.79,306
2025-05-27 12:00:00,1493.8,1498.7,1493.44,1496.65,693
2025-05-27 16:00:00,1496.77,1497.63,1495.64,1497.5,70
2025-05-28 08:00:00,1501.83,1505.44,1493.28,1493.28,569
2025-05-28 12:00:00,1493.28,1493.28,1488.38,1489.27,698
2025-05-28 16:00:00,1489.15,1491.31,1489.04,1491.3,39
2025-05-30 08:00:00,1485.83,1495.95,1485.08,1492.42,543
2025-05-30 12:00:00,1492.42,1493.44,1484.64,1489.78,811
2025-05-30 16:00:00,1489.77,1491.03,1489.14,1491.03,55
2025-06-02 08:00:00,1487.23,1490.1,1480.12,1488.78,986
2025-06-02 12:00:00,1488.79,1497.14,1486.31,1495.52,734
2025-06-02 16:00:00,1495.52,1496.15,1494.77,1495.66,46
2025-06-03 08:00:00,1495.43,1499.04,1490.02,1491.96,625
2025-06-03 12:00:00,1491.96,1495.16,1490.34,1491.57,626
2025-06-03 16:00:00,1491.69,1492.92,1490.9,1490.9,56
2025-06-04 08:00:00,1491.81,1501.7,1489.32,1499.09,584
2025-06-04 12:00:00,1499.34,1502.12,1494.73,1497.39,662
2025-06-04 16:00:00,1497.39,1497.88,1497.13,1497.38,41
2025-06-05 08:00:00,1496.75,1509.17,1496.5,1509.17,593
2025-06-05 12:00:00,1509.05,1513.47,1507.16,1511.84,703
2025-06-05 16:00:00,1511.84,1512.09,1510.14,1510.27,51
2025-06-06 08:00:00,1508.67,1511.17,1504.08,1506.43,596
2025-06-06 12:00:00,1506.43,1508.62,1504.55,1507.19,716
2025-06-06 16:00:00,1507.19,1507.68,1506.44,1507.2,44
2025-06-10 08:00:00,1511.58,1520.32,1509.17,1514.84,677
2025-06-10 12:00:00,1514.84,1517.83,1512.59,1516.98,701
2025-06-10 16:00:00,1517.11,1517.42,1516.8,1517.42,49
2025-06-11 08:00:00,1521.14,1530.21,1517.15,1526.39,623
